COVID19-CASES

TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Deaths_1M_pop,FirstCase,Country,Serious_Critical,TotCases_1M_Pop
"188","+14","","","25","163","","Jan 22","Vietnam","3","2"
"183","","","","1","182","","Mar 10","Réunion","","204"
"167","+15","","","23","144","","Feb 23","Oman","","33"
"159","+4","","","70","89","","Mar 03","Faeroe Islands","1","3,254"
"152","+11","5","","2","145","0.2","Mar 11","Ghana","1","5"
"151","+2","","","2","149","","Mar 06","Malta","4","342"
"144","+40","2","","7","135","0.06","Mar 14","Uzbekistan","8","4"
"142","+12","","","27","115","","Mar 01","Senegal","","8"
"140","+39","","","3","137","","Mar 10","Ivory Coast","","5"
"139","+20","3","","4","132","0.3","Mar 10","Cuba","2","12"
"126","+6","1","","34","91","2","Mar 08","Brunei","1","288"
"120","+10","4","","2","114","0.1","Feb 23","Afghanistan","","3"
"119","","2","","39","78","0.07","Mar 12","Venezuela","2","4"
"117","+4","1","","11","105","0.05","Jan 26","Sri Lanka","5","5"
"110","+15","2","+1","3","105","0.2","Mar 10","Honduras","4","11"
"108","+4","1","","18","89","0.2","Mar 04","Palestine","","21"
"107","+5","2","","","105","2","Mar 17","Mauritius","1","84"
"103","+4","","","21","82","","Jan 26","Cambodia","1","6"
"102","","2","","17","83","5","Mar 12","Guadeloupe","4","255"
"100","+3","2","+1","","98","12","Mar 08","Channel Islands","","575"
"97","","1","","3","93","0.00","Feb 27","Nigeria","","0.5"
"94","","","","32","62","","Feb 27","Belarus","2","10"
"93","","1","","","92","3","Mar 04","Martinique","12","248"
"91","","2","","2","87","0.08","Mar 05","Cameroon","","3"
"91","+1","","","18","73","","Feb 25","Georgia","1","23"
"85","+1","1","","","84","2","Mar 16","Montenegro","1","135"
"84","+26","","","","84","","Mar 17","Kyrgyzstan","","13"
"81","+7","1","+1","","80","0.09","Mar 09","Bolivia","3","7"
"76","","3","","1","72","2","Mar 11","Trinidad and Tobago","","54"
"65","","6","","2","57","0.07","Mar 09","DRC","","0.7"
"65","+9","","","14","51","","Mar 02","Gibraltar","","1,929"
"63","","","","","63","","Mar 13","Mayotte","","231"
"60","","","","","60","","Mar 13","Rwanda","","5"
"56","","3","","1","52","0.4","Mar 06","Paraguay","1","8"
"56","","","","","56","","Mar 02","Liechtenstein","","1,469"
"50","+4","","","1","49","","Mar 12","Aruba","","468"
"48","","5","","15","28","0.03","Mar 07","Bangladesh","1","0.3"
"43","","1","","1","41","25","Feb 27","Monaco","","1,096"
"42","+4","1","","1","40","0.02","Mar 12","Kenya","2","0.8"
"42","+10","","","","42","","Mar 18","Isle of Man","","494"
"39","+13","","","","39","","Mar 19","Madagascar","","1"
"37","+3","","","10","27","","Jan 21","Macao","","57"
"34","","1","","10","23","0.06","Mar 12","Guatemala","1","2"
"33","+3","","","","33","","Mar 20","Uganda","","0.7"
"32","+2","1","","2","29","0.3","Mar 09","Jamaica","","11"
"30","","","","","30","","Mar 10","French Polynesia","","107"
"29","+1","","","","29","","Mar 17","Zambia","","2"
"28","","","","6","22","","Mar 06","French Guiana","","94"
"26","","","","","26","","Mar 16","Barbados","","90"
"25","","1","","1","23","0.1","Mar 05","Togo","","3"
"24","+5","","","","24","","Mar 18","El Salvador","","4"
"22","+5","","","2","20","","Mar 17","Bermuda","","353"
"21","+5","","","1","20","","Mar 12","Ethiopia","","0.2"
"19","+15","","","","19","","Mar 14","Congo","","3"
"18","","1","","","17","0.05","Mar 24","Mali","","0.9"
"18","+8","1","","","17","0.04","Mar 18","Niger","","0.7"
"18","+4","","","","18","","Mar 17","Djibouti","","18"
"17","+1","","","13","4","","Mar 06","Maldives","","31"
"16","+8","","","","16","","Mar 12","Guinea","","1"
"15","+7","","","1","14","","Mar 19","Haiti","","1"
"15","","","","","15","","Mar 17","New Caledonia","","53"
"14","","","","1","13","","Mar 15","Tanzania","","0.2"
"12","","","","","12","","Mar 13","Equatorial Guinea","","9"
"12","","","","","12","","Mar 09","Mongolia","","4"
"11","+1","","","1","10","","Mar 14","Bahamas","","28"
"11","","","","","11","","Mar 21","Dominica","","153"
"11","+3","","","2","9","","Mar 13","Namibia","","4"
"11","","","","","11","","Feb 29","Saint Martin","","284"
"10","","","","2","8","","Mar 15","Greenland","","176"
"10","+2","","","","10","","Mar 22","Myanmar","","0.2"
"9","+4","1","+1","","8","0.06","Mar 21","Syria","","0.5"
"9","+2","","","","9","","Mar 21","Grenada","","80"
"9","","","","","9","","Mar 13","Eswatini","","8"
"8","","1","","","7","15","Mar 12","Cayman Islands","","122"
"8","","1","","2","5","6","Mar 12","Curaçao","","49"
"8","","1","","","7","1","Mar 11","Guyana","","10"
"8","","","","","8","","Mar 23","Laos","","1"
"8","+5","","","","8","","Mar 23","Libya","","1"
"8","","","","","8","","Mar 21","Mozambique","","0.3"
"8","","","","","8","","Mar 13","Seychelles","","81"
"8","","","","","8","","Mar 12","Suriname","","14"
"7","+2","2","+2","","5","0.06","Mar 19","Angola","","0.2"
"7","","1","","","6","0.4","Mar 12","Gabon","","3"
"7","","1","","","6","0.07","Mar 19","Zimbabwe","","0.5"
"7","","","","","7","","Mar 12","Antigua and Barbuda","","71"
"6","","1","","","5","2","Mar 19","Cabo Verde","","11"
"6","+1","1","","","5","0.02","Mar 12","Sudan","","0.1"
"6","","","","","6","","Mar 15","Benin","","0.5"
"6","","","","","6","","Mar 20","Eritrea","","2"
"6","","","","","6","","Mar 05","Vatican City","","7,491"
"6","","","","","6","","Mar 17","Sint Maarten","","140"
"5","","","","1","4","","Jan 23","Nepal","","0.2"
"5","","","","","5","","Mar 18","Fiji","","6"
"5","","","","","5","","Mar 12","Mauritania","","1"
"5","","","","","5","","Mar 17","Montserrat","","1,002"
"5","","","","","5","","Feb 29","St. Barth","","506"
"4","","1","","","3","0.2","Mar 18","Nicaragua","","0.6"
"4","+1","","","","4","","Mar 05","Bhutan","","5"
"4","+1","","","1","3","","Mar 12","Saint Lucia","","22"
"4","","","","","4","","Mar 22","Turks and Caicos","","103"
"3","","1","","","2","0.4","Mar 16","Gambia","","1"
"3","","","","","3","","Mar 14","CAR","","0.6"
"3","","","","","3","","Mar 18","Chad","","0.2"
"3","","","","","3","","Mar 15","Liberia","","0.6"
"3","","","","","3","","Mar 15","Somalia","","0.2"
"2","","","","","2","","Mar 26","MS Zaandam","",""
"2","","","","","2","","Mar 25","Anguilla","","133"
"2","","","","","2","","Mar 22","Belize","","5"
"2","","","","","2","","Mar 24","British Virgin Islands","","66"
"2","","","","","2","","Mar 24","Guinea-Bissau","","1"
"2","","","","","2","","Mar 24","Saint Kitts and Nevis","","38"
"1","","","","","1","","Mar 19","Papua New Guinea","","0.1"
"1","","","","1","0","","Mar 10","St. Vincent Grenadines","","9"
"1","","","","","1","","Mar 20","Timor-Leste","","0.8"
"81,439","+45","3,300","+5","75,448","2,691","2","Jan 10","China","742","57"
"714,252","+51,170","33,629","+2,773","150,881","529,742","4.3","","Total:","26,737","91.6"
